,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
61,SNSDF0806-48,,5.962916667,27.5567,01/06/2008,7.93E+14,,,supernova,Ia,1.135
90,SNSDF0705-18,,6.009583333,27.53404167,01/05/2007,9.20E+14,,,supernova,CC,1.412
117,SNSDF0702-23,,6.031666667,27.55555278,01/02/2007,7.21E+14,,,supernova,CC,0.995
118,SNSDF0702-04,,5.934166667,27.584425,01/02/2007,7.54E+14,,,supernova,Ia,1.058
119,SNSDF0702-11,,6.09,27.75438333,01/02/2007,7.74E+14,,,supernova,Ia,1.096
155,SNSDF0503-04,,6.310833333,27.48791111,01/03/2005,6.79E+14,,,supernova,Ia,0.918
156,SNSDF0503-26,,6.119583333,27.74654722,01/03/2005,7.66E+14,,,supernova,Ia,1.08
157,SNSDF0503-24,,6.089583333,27.68624722,01/03/2005,7.91E+14,,,supernova,Ia,1.13
158,SN1895B,NGC 5253,204.9829167,-31.64194444,1895/07/07,1.31E+12,-20.1,7.07,supernova,Ia,0.0014
160,SN1885A,NGC 224,10.67916667,41.26777778,1885/08/17,9.11E+11,-15.3,9,supernova,I,-0.00097
340,SN2018cvs,,205.2832083,28.88651944,20/06/2018,9.60E+13,-18.986,19.4,supernova,Ia,0.1048
390,SN2018cqw,CGCG 113-034,274.3842083,19.44458056,18/06/2018,9.22E+12,-16.401,16.8,supernova,Ia,0.009843
750,SN2018ced,,164.612875,51.69573889,03/06/2018,6.36E+13,-19.26,18.2,supernova,Ia,0.0689
974,PS18tm,Abell 2104_14:[PSE2006] 0389,234.547375,-2.806761111,21/05/2018,8.91E+13,-18.51,19.71,supernova,,0.0971
1133,AT2018bqb,M63,3.913333333,42.09436944,13/05/2018,1.51E+12,-10.27,19,supernova,removed,0.001614
1332,AT2018bck,NGC 2592,126.7820833,25.96772222,28/04/2018,6.19E+12,-15.432,16.9,supernova,Candidate,0.006601
1708,AT2018ble,IC 3740,6.114583333,30.97786944,05/04/2018,8.31E+12,-16.57,16.4,supernova,removed,0.00887
1715,SN2018are,2MASX J13492678+2627426,207.362,26.46191944,05/04/2018,7.04E+13,-19.3847,18.3,supernova,Ia-91T,0.076358
1785,AT2018bli,NGC 4513,8.005833333,66.33355,29/03/2018,7.20E+12,-15.363,17.3,supernova,removed,0.007685
1894,AT2018ajo,PGC 29488,2.11375,12.31586111,19/03/2018,8.82E+11,,,supernova,Candidate,0.00094
2154,AT2018aip,,208.166125,15.054375,06/03/2018,8.64E+13,-19.3455,18.8,supernova,Candidate,0.094044
2200,SN2018yu,NGC 1888,80.63483333,-11.48718611,01/03/2018,7.60E+12,-18.88,13.9,supernova,Ia,0.008112
2257,SN2018xx,NGC 4767,193.4510417,-39.69696944,21/02/2018,9.35E+12,-18.13,15.1,supernova,Ia,0.00999
2302,AT2018bmh,2MASX J13351912+2920388,8.829583333,29.34422222,14/02/2018,5.82E+13,-17.6573,19.6,supernova,removed,0.062907
2403,SN2018pq,IC 3896A,193.880375,-50.05471111,08/02/2018,6.66E+12,-16.794,15.7,supernova,II,0.007111
2460,PS18ht,2MASX J00592247+1417447,14.84433333,14.29415556,04/02/2018,8.53E+13,-17.71,20.41,supernova,,0.0929
2662,SN2018is,NGC 5054,199.2389583,-16.61789722,20/01/2018,5.45E+12,-18.374,13.68,supernova,II,0.005811
2830,SN2018bbw,UGC 8155,195.8112917,7.802269444,10/01/2018,9.14E+12,-15.282,17.9,supernova,,0.009757
2959,SN2018ec,NGC 3256,156.9615417,-43.90175,03/01/2018,8.76E+12,-17.99,15.1,supernova,Ic,0.009354
3007,PS18d,NGC 678,27.359,22.00223611,01/01/2018,8.86E+12,-11.784,21.33,supernova,,0.009457
3030,SN2017jmk,NGC 7541,348.6879167,4.530861111,31/12/2017,8.87E+12,-15.41,17.71,supernova,II,0.00947
3629,SN2017iro,NGC 5480,211.5962917,50.72227778,30/11/2017,5.80E+12,-16.692,15.5,supernova,Ib,0.006191
3870,SN2017igf,NGC 3901,175.7077083,77.37026111,18/11/2017,5.27E+12,-16.233,15.75,supernova,Ia,0.005624
4442,SN2017hpi,AM 0813-284,123.9307917,-28.85551111,26/10/2017,5.31E+12,-16.708,15.29,supernova,II,0.005661
4469,AT2017hot,LEDA 1871316,9.581041667,29.58647222,24/10/2017,6.91E+13,-17.64,20,supernova,Candidate,0.0749
4598,SN2017hky,2MASX J11233086+6322,170.877125,63.36651111,16/10/2017,9.11E+12,-17.005,16.17,supernova,II,0.009725
4914,SN2017hai,,134.0545833,32.50983056,29/09/2017,5.64E+13,-18.28,18.91,supernova,Ia,0.0609
5799,SN2017gax,NGC 1672,71.45595833,-59.24515556,14/08/2017,4.16E+12,-17.43,14.04,supernova,Ib/c,0.00444
6004,AT2017fvz,NGC 6822,11.25416667,-14.78076111,02/08/2017,1.01E+11,,,supernova,Candidate,0.000108
6380,SN2017fgc,NGC 0474,20.06016667,3.402766667,11/07/2017,7.23E+12,,,supernova,Ia,0.007722
6591,Gaia17brl,,328.875875,-10.78108889,29/06/2017,8.23E+13,-19.3872,18.65,supernova,Candidate,0.089555
6713,Gaia17buj,,197.5075,-42.16015556,22/06/2017,9.45E+12,-16.5566,16.7,supernova,Candidate,0.010097
6714,Gaia17bst,MCG +00-26-27,152.9334167,-2.730488889,22/06/2017,9.98E+12,-14.7756,18.6,supernova,Candidate,0.010664
6957,SN2017emq,UGC 5369,150.077375,54.53974167,03/06/2017,4.92E+12,-16.222,15.61,supernova,Ia,0.005247
7045,SN2017ejb,NGC 4696,192.1500417,-41.32598056,28/05/2017,9.24E+12,-17.506,15.7,supernova,Ia-91bg,0.009867
7112,PS17dea,CGCG 050-116,238.021375,4.514794444,26/05/2017,7.35E+13,-17.7703,20.01,supernova,,0.079735
7342,SN2017eaw,NGC 6946,308.6843333,60.19330556,14/05/2017,1.25E+11,-11.71,12.14,supernova,II P,0.000133
7499,SN2017drh,NGC 6384,263.1085417,7.0632,03/05/2017,5.21E+12,-15.336,16.62,supernova,Ia,0.005554
7897,SN2017cyy,ESO 091-015,144.15125,-63.94852222,12/04/2017,9.16E+12,-18.287,14.9,supernova,Ia,0.009777
8043,Gaia17aye,,345.9750833,-32.45978056,05/04/2017,8.06E+13,-19.37,18.62,supernova,Candidate,0.0876
8378,SN2017ckd,2MASX J14201616+1520386,215.0695417,15.34154722,25/03/2017,6.31E+13,-19.2197,18.22,supernova,Ia,0.068334
8764,SN2017bzb,NGC 7424,344.3220833,-41.016,07/03/2017,2.94E+12,-17.731,12.98,supernova,II,0.003132
8765,SN2017bzc,NGC 7552,349.0612083,-42.56969444,07/03/2017,5.03E+12,-19.681,12.2,supernova,Ia,0.005365
