,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
53,53.0,,01/04/2018,-18.54986742912342,881106009.2518189,0.0,,,135.41518212299036,,,1.6357214584097997e+18,5.72874183598985e+18,,5753.0,star
99,99.0,,01/04/2018,83.26283327103971,364471154.6602374,0.0,5.044519536544414,-6.191670610824582,14.97033941549331,,1.1069444,1.6357214584097997e+18,5.731155611929226e+17,,5150.0503,star
56,56.0,,01/04/2018,-17.411544705270632,35798625.28568416,0.0,,,135.32152216821422,,,1.6357214584097997e+18,5.729067909906737e+18,,3660.1802,star
97,97.0,,01/04/2018,-17.18709143651546,71359964.24562746,0.0,,,134.9835313312403,,,1.6357214584097997e+18,5.729134151187559e+18,,,star
4,4.0,,01/04/2018,-17.405302970531448,528123193.02582383,0.0,3.3725516992086373,-8.668998836712019,135.70737304570278,,1.9688407,1.6357214584097997e+18,5.729429786671305e+18,,5675.0,star
58,58.0,,01/04/2018,-17.65264678788505,364434235.4857694,0.0,-2.3137975115555367,-13.549767688075391,134.0911829931997,61.017668270720975,66.45576,1.6357214584097997e+18,5.729749950713715e+18,,3617.76,star
60,60.0,,01/04/2018,-17.086641348993076,234278898.95946428,0.0,4.00411625721926,-6.272423948450217,134.60847645506465,,1.4111483,1.6357214584097997e+18,5.729886015277611e+18,,5796.0,star
82,82.0,,01/04/2018,-16.815363568348893,644342237.9180617,0.0,,,132.46095390796424,,,1.6357214584097997e+18,5.730087706942033e+18,,5400.6665,star
72,72.0,,01/04/2018,-15.944125260774456,623533377.4657079,0.0,,,133.44222938204334,,,1.6357214584097997e+18,5.73025750847368e+18,,5661.0,star
48,48.0,,01/04/2018,-15.676667702884364,467960534.1526269,0.0,,,134.06263755567426,,,1.6357214584097997e+18,5.730634439098524e+18,,5416.0,star
94,94.0,,01/04/2018,-16.740218439083733,478452709.3436623,0.0,,,137.84557148946436,,,1.6357214584097997e+18,5.730837745670541e+18,,5342.3335,star
75,75.0,,01/04/2018,-16.045396799444564,295931429.2326285,0.0,,,138.02384808822922,,,1.6357214584097997e+18,5.730948242293167e+18,,,star
60,60.0,,01/04/2018,-15.631559311531243,354579436.40650934,0.0,,,137.2972264500784,,,1.6357214584097997e+18,5.731172267787097e+18,,,star
0,0.0,,01/04/2018,83.29252288234467,472938189.10335225,0.0,,,19.436434404500623,,,1.6357214584097997e+18,5.731272778638249e+17,,,star
0,0.0,,01/04/2018,-14.743444423016276,690477271.4979633,0.0,,,139.01346236504907,,,1.6357214584097997e+18,5.731523561753227e+18,,5076.0,star
57,57.0,,01/04/2018,-14.327578513744585,181033366.57214165,0.0,,,138.60026773194207,,,1.6357214584097997e+18,5.731783218295493e+18,,,star
23,23.0,,01/04/2018,-14.654770204834998,137515805.59299245,0.0,,,137.36324233682242,,,1.6357214584097997e+18,5.732137230975345e+18,,,star
62,62.0,,01/04/2018,-14.175031118042808,239294426.60278767,0.0,,,135.94991408163878,,,1.6357214584097997e+18,5.732355685896835e+18,,,star
30,30.0,,01/04/2018,-12.906485307162994,196292019.92220232,0.0,,,138.22218463079992,,,1.6357214584097997e+18,5.732789649392053e+18,,,star
71,71.0,,01/04/2018,-12.418496588658133,139242951.97603822,0.0,,,137.9613109377826,,,1.6357214584097997e+18,5.73305717861018e+18,,,star
51,51.0,,01/04/2018,-16.317820454069473,594376866.5821668,0.0,,,132.04900153625462,,,1.6357214584097997e+18,5.733165270051365e+18,,,star
29,29.0,,01/04/2018,-15.526675489255533,466258243.9058324,0.0,3.9387832644398135,-7.832223687892945,133.26109157974426,,1.6562898999999998,1.6357214584097997e+18,5.7332913745877e+18,,5431.0,star
69,69.0,,01/04/2018,-15.439740924383994,889449471.5859203,0.0,,,132.3093331256724,,,1.6357214584097997e+18,5.733517904046748e+18,,5420.08,star
97,97.0,,01/04/2018,-14.93738578548314,663720397.4305551,0.0,,,134.4094642258662,,,1.6357214584097997e+18,5.733789139820703e+18,,,star
4,4.0,,01/04/2018,83.91220103815067,59881419.34194695,0.0,,,3.7380633142893673,,,1.6357214584097997e+18,5.734394017268904e+17,,,star
72,72.0,,01/04/2018,-15.025099618722509,201966826.6764,0.0,5.7358738029415095,-4.2184007404435295,132.94517650767474,,0.8224670000000001,1.6357214584097997e+18,5.733927510783867e+18,,5095.4165,star
81,81.0,,01/04/2018,-15.27451171326472,259163948.81956333,0.0,,,130.43383300006815,,,1.6357214584097997e+18,5.734280655880073e+18,,,star
89,89.0,,01/04/2018,-14.681511637521329,482457561.3004472,0.0,3.55940141846237,-8.285768501961195,131.37531873024886,,1.4110200000000002,1.6357214584097997e+18,5.734380024241743e+18,,6421.25,star
42,42.0,,01/04/2018,-13.837844000826307,122542694.0481614,0.0,,,130.76070617191098,,,1.6357214584097997e+18,5.73473626600897e+18,,,star
82,82.0,,01/04/2018,-13.688233252577849,382343266.5394673,0.0,,,132.60282161893008,,,1.6357214584097997e+18,5.734836493366556e+18,,,star
55,55.0,,01/04/2018,-13.094676706029832,208522686.33768395,0.0,,,132.89119774089485,,,1.6357214584097997e+18,5.735021112536664e+18,,,star
28,28.0,,01/04/2018,-14.016478984712574,381648639.6540333,0.0,,,134.5643737791728,,,1.6357214584097997e+18,5.735409785601505e+18,,,star
36,36.0,,01/04/2018,-13.407809998298616,128792627.88621572,0.0,,,134.93537560557957,,,1.6357214584097997e+18,5.735471289532701e+18,,,star
31,31.0,,01/04/2018,-12.516633163067784,89330994.03203249,0.0,,,135.18399375772796,,,1.6357214584097997e+18,5.735817566976784e+18,,,star
87,87.0,,01/04/2018,19.79190526956402,84686856.7471116,0.0,4.51309016983651,-3.5538642333590684,52.67058386952242,-93.80024934430205,1.4350034,1.6357214584097997e+18,5.768790907307994e+16,,5112.0,star
46,46.0,,01/04/2018,-12.02392529722456,1112261690.6873398,0.0,,,137.01642363177123,,,1.6357214584097997e+18,5.73612045236514e+18,,4802.385,star
82,82.0,,01/04/2018,-11.525478519776664,475332152.3034626,0.0,,,136.67196634554008,,,1.6357214584097997e+18,5.736360936173838e+18,,5638.767,star
29,29.0,,01/04/2018,85.03879332490584,1006167581.8198364,0.0,,,17.37585742019899,,,1.6357214584097997e+18,5.7375709186732186e+17,,5368.5,star
