name,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date,dec,dist,mabs,mapp,mass,ra,type,z,subtype,importance,commentary,teff_val
Mrk335,0,0,0,01/01/1998,20.20277778,0.11688499999999999,,,7.230111249,1.58125,blackhole,0.025789999999999997,,0, ,
Mrk1501,1,1,1,01/01/2012,10.975,0.398185,,,8.066634021,2.629166667,blackhole,0.08934,,0, ,
PG0026+129,2,2,2,01/01/2000,13.2675,0.62565,,,8.486820338,7.306666667000001,blackhole,0.142,,0, ,
PG0052+251,3,3,3,01/01/2000,25.42722222,0.679,,,8.461727912,13.71708333,blackhole,0.15445,,0, ,
Fairall9,4,4,4,01/01/1997,-58.80583333,0.211945,,,8.298946724,5.940833333,blackhole,0.04702,,0, ,
Mrk590,5,5,5,01/01/1998,-0.7666666670000001,0.11931,,,7.569730559,3.639583333,blackhole,0.026389999999999997,,0, ,
Mrk1044,6,6,6,01/01/2014,-8.998055556,0.07468999999999999,,,,7.5229166670000005,blackhole,0.016451,,0, ,
3C120,7,7,7,01/01/1998,5.354444443999999,0.148895,,,7.744676263,8.29625,blackhole,0.033010000000000005,,0, ,
H0507+164,8,8,8,01/01/2011,16.49888889,0.08099500000000001,,,6.875870419,2.6895833330000003,blackhole,0.017879,,0, ,
Ark120,9,9,9,01/01/1998,-0.149722222,0.147925,,,8.06802229,4.0475,blackhole,0.03271,,0, ,
Mrk6,10,10,10,01/01/2012,74.42694444,0.08536,,,8.101935537000001,13.05083333,blackhole,0.01881,,0, ,
Mrk79,11,11,11,01/01/1998,49.80972222,0.100395,,,7.611874988999999,10.63666667,blackhole,0.02219,,0, ,
Mrk382,12,12,12,01/01/2014,39.18611111,0.15229,,,,13.85541667,blackhole,0.033687,,0, ,
PG0804+761,13,13,13,01/01/2000,76.04527778,0.444745,,,8.734818192,2.744166667,blackhole,0.1,,0, ,
S5 0836+71,14,14,14,01/01/2007,70.895,5.7715000000000005,,,,10.35125,blackhole,2.1719999999999997,,0, ,
PG0844+349,15,15,15,01/01/2000,34.75111111,0.28712000000000004,,,7.858308855,11.92666667,blackhole,0.064,,0, ,
Mrk110,16,16,16,01/01/1998,52.28638889,0.159565,,,7.292444773,6.30375,blackhole,0.035289999999999995,,0, ,
PG0953+414,17,17,17,01/01/2000,41.25611111,1.0088,,,8.333343862000001,14.21833333,blackhole,0.2341,,0, ,
NGC3227,18,18,18,01/01/2010,19.865,0.017557,,,6.7749938610000005,5.8775,blackhole,0.00386,,0, ,
Mrk142,19,19,19,01/01/2009,51.67638889,0.202245,,,6.29369675,6.380416667,blackhole,0.04494,,0, ,
NGC3516,20,20,20,01/01/2010,72.56861111,0.040158000000000006,,,7.394508927,1.6979166669999999,blackhole,0.00884,,0, ,
SBS1116+583A,21,21,21,01/01/2009,58.05666667,0.1261,,,6.558337965,4.740416667,blackhole,0.02787,,0, ,
Arp151,22,22,22,01/01/2008,54.3825,0.095545,,,6.670270922,6.400833333,blackhole,0.02109,,0, ,
NGC3783,23,23,23,01/01/1994,-37.73861111,0.0441835,,,7.370772872000001,9.757083332999999,blackhole,0.009729999999999999,,0, ,
MCG+06-26-012,24,24,24,01/01/2014,33.93083333,0.147925,,,,9.807916667,blackhole,0.032753,,0, ,
SDSS J1139+3355,25,25,25,01/01/2013,33.93083333,0.147925,,,,9.807916667,blackhole,0.032753,,0, ,
Mrk1310,26,26,26,01/01/2009,-3.6780555560000003,0.088755,,,6.211565965,0.309583333,blackhole,0.01956,,0, ,
NGC4051,27,27,27,01/01/2009,44.53138889,0.0106215,,,6.129726799999999,0.79,blackhole,0.00234,,0, ,
NGC4151,28,28,28,01/01/1990,39.40583333,0.0150835,,,7.555236012999999,2.6358333330000003,blackhole,0.0033200000000000005,,0, ,
PG1211+143,29,29,29,01/01/2000,14.05361111,0.361325,,,,3.57375,blackhole,0.0809,,0, ,
Mrk202,30,30,30,01/01/2009,58.65972222,0.09506,,,6.1330294510000005,4.479166667,blackhole,0.02102,,0, ,
