name,Unnamed: 0,ra,dec,dist,nplanets,date,mabs,mapp,type,commentary,subtype,importance,teff_val,mass
Proxima Cen,2164,217.42895499999997,-62.679485,1.29e-09,1,01/01/2016,,,exoplanet, ,,0,,
eps Eri,577,53.232685,-9.458262,3.21e-09,1,01/01/2000,,,exoplanet, ,,0,,
Ross 128,3149,176.93498200000005,0.804563,3.379999999999999e-09,1,01/01/2017,,,exoplanet, ,,0,,
YZ Cet,3355,18.127668,-16.998966,3.6e-09,3,01/01/2017,,,exoplanet, ,,0,,
tau Cet,3349,26.017012,-15.937479999999999,3.65e-09,4,01/01/2017,,,exoplanet, ,,0,,
GJ 273,3129,111.85208100000001,5.225785,3.8e-09,2,01/01/2017,,,exoplanet, ,,0,,
Kapteyn,1787,77.91909,-45.018414,3.9200000000000005e-09,1,01/01/2014,,,exoplanet, ,,0,,
Wolf 1061,509,247.575241,-12.662594,4.3e-09,3,01/01/2015,,,exoplanet, ,,0,,
GJ 687,1405,264.10791,68.33914200000001,4.53e-09,1,01/01/2014,,,exoplanet, ,,0,,
GJ 674,2535,262.166443,-46.895191,4.54e-09,1,01/01/2007,,,exoplanet, ,,0,,
GJ 876,1408,343.319733,-14.2637,4.7e-09,4,01/01/2000,,,exoplanet, ,,0,,
GJ 832,2608,323.391571,-49.009006,4.94e-09,2,01/01/2008,,,exoplanet, ,,0,,
GJ 3323,3128,75.48928000000002,-6.946263,5.320000000000001e-09,2,01/01/2017,,,exoplanet, ,,0,,
HD 20794,131,49.981876,-43.069782000000004,6.06e-09,4,01/01/2011,,,exoplanet, ,,0,,
GJ 581,2533,229.861771,-7.7222800000000005,6.27e-09,3,01/01/2009,,,exoplanet, ,,0,,
GJ 625,3357,246.3526,54.304104,6.4900000000000005e-09,1,01/01/2017,,,exoplanet, ,,0,,
HD 219134,3020,348.32074,57.168354,6.55e-09,6,01/01/2015,,,exoplanet, ,,0,,
GJ 667 C,1402,259.745085,-34.996827,6.800000000000001e-09,5,01/01/2013,,,exoplanet, ,,0,,
HD 1690,88,5.305497,-8.281169,7.0099999999999996e-09,1,01/01/2010,,,exoplanet, ,,0,,
HD 95872,974,165.867114,-22.093977,7.56e-09,1,01/01/2015,,,exoplanet, ,,0,,
Fomalhaut,590,344.412689,-29.622235999999997,7.7e-09,1,01/01/2008,,,exoplanet, ,,0,,
61 Vir,487,199.601318,-18.311195,8.52e-09,3,01/01/2009,,,exoplanet, ,,0,,
GJ 849,1407,332.418121,-4.640729,8.77e-09,1,01/01/2006,,,exoplanet, ,,0,,
HD 192310,1720,303.822449,-27.032976,8.82e-09,2,01/01/2011,,,exoplanet, ,,0,,
GJ 433,1394,173.86228899999998,-32.539970000000004,9.04e-09,1,01/01/2011,,,exoplanet, ,,0,,
HD 102365,2618,176.629471,-40.500355,9.24e-09,1,01/01/2010,,,exoplanet, ,,0,,
HD 285968,1738,70.732407,18.958172,9.420000000000001e-09,1,01/01/2008,,,exoplanet, ,,0,,
GJ 536,3338,210.26328999999998,-2.654864,1e-08,1,01/01/2016,,,exoplanet, ,,0,,
WISEP J121756.91+162640.2 A,2339,184.487125,16.4445,1.01e-08,1,01/01/2012,,,exoplanet, ,,0,,
GJ 436,1395,175.546219,26.70657000000001,1.02e-08,1,01/01/2004,,,exoplanet, ,,0,,
GJ 649,1398,254.53687999999997,25.74416,1.03e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 62509,150,116.328957,28.026199,1.03e-08,1,01/01/2006,,,exoplanet, ,,0,,
HD 147379,3154,244.17811600000002,67.238846,1.07e-08,1,01/01/2017,,,exoplanet, ,,0,,
GJ 86,14,32.608059000000004,-50.823723,1.09e-08,1,01/01/1999,,,exoplanet, ,,0,,
GJ 1148,3144,175.435974,42.751971999999995,1.1000000000000001e-08,2,01/01/2017,,,exoplanet, ,,0,,
HD 3651,91,9.840858,21.250473,1.1100000000000002e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 85512,195,147.77938799999995,-43.502789,1.1200000000000001e-08,1,01/01/2011,,,exoplanet, ,,0,,
Ross 458,657,195.19409199999998,12.375724,1.14e-08,1,01/01/2010,,,exoplanet, ,,0,,
GJ 1132,3025,153.71573700000005,-47.156727000000004,1.2e-08,2,01/01/2015,,,exoplanet, ,,0,,
TRAPPIST-1,626,346.622013,-5.041274,1.2099999999999999e-08,7,01/01/2016,,,exoplanet, ,,0,,
GJ 179,3225,73.023865,6.476539,1.2099999999999999e-08,1,01/01/2009,,,exoplanet, ,,0,,
LHS 1140,3135,11.24724,-15.271532,1.25e-08,1,01/01/2017,,,exoplanet, ,,0,,
55 Cnc,2517,133.149216,28.330818,1.25e-08,5,01/01/2002,,,exoplanet, ,,0,,
HD 69830,177,124.599777,-12.632174000000001,1.26e-08,3,01/01/2006,,,exoplanet, ,,0,,
VHS J125601.92-125723.9,2571,194.008964,-12.956031,1.27e-08,1,01/01/2015,,,exoplanet, ,,0,,
HD 40307,1746,88.51767,-60.023472,1.28e-08,5,01/01/2009,,,exoplanet, ,,0,,
HD 147513,362,246.005371,-39.192982,1.29e-08,1,01/01/2003,,,exoplanet, ,,0,,
GJ 1214,1410,258.828837,4.96392,1.29e-08,1,01/01/2009,,,exoplanet, ,,0,,
ups And,623,24.199345,41.40546,1.35e-08,3,01/01/1999,,,exoplanet, ,,0,,
gam Cep,580,354.836884,77.632278,1.38e-08,1,01/01/2003,,,exoplanet, ,,0,,
47 UMa,2414,164.86656200000004,40.430256,1.4099999999999999e-08,3,01/01/1996,,,exoplanet, ,,0,,
HIP 79431,952,243.17405699999998,-18.875504,1.49e-08,1,01/01/2009,,,exoplanet, ,,0,,
GJ 163,1390,62.315273,-53.373699,1.5e-08,3,01/01/2013,,,exoplanet, ,,0,,
GJ 317,1393,130.24673,-23.456289,1.51e-08,1,01/01/2007,,,exoplanet, ,,0,,
HD 160691,2712,266.036255,-51.834053000000004,1.53e-08,4,01/01/2004,,,exoplanet, ,,0,,
51 Peg,2511,344.366577,20.768832999999997,1.54e-08,1,01/01/1995,,,exoplanet,"First exoplanet to be discovered in 1995.

Distance from Earth; 14.7 pc

Mass;	0.47 Jupiter Masses	

Semi-Major Axis; 0.052 AU	

Orbital Period;	4.2308 Earth days	

Eccentricity; 0.0069		

Radius;	1.9 Jupiter Radii

Surface Temperature; -",,0,,
tau Boo,647,206.815598,17.456905,1.56e-08,1,01/01/1996,,,exoplanet, ,,0,,
GJ 3293,3131,67.14882,-25.169301,1.58e-08,4,01/01/2017,,,exoplanet, ,,0,,
HD 190360,741,300.905853,29.896805,1.59e-08,2,01/01/2003,,,exoplanet, ,,0,,
HD 113538,261,196.23948700000003,-52.442924,1.59e-08,2,01/01/2010,,,exoplanet, ,,0,,
HD 128311,345,219.00233500000002,9.746518,1.65e-08,2,01/01/2005,,,exoplanet, ,,0,,
HD 7924,103,20.496313,76.71028100000002,1.6799999999999998e-08,3,01/01/2008,,,exoplanet, ,,0,,
GJ 676 A,1404,262.546692,-51.636978000000006,1.69e-08,4,01/01/2012,,,exoplanet, ,,0,,
GJ 3942,3433,242.263092,52.943874,1.7e-08,1,01/01/2017,,,exoplanet, ,,0,,
HD 177565,3105,286.7185970000001,-37.810658000000004,1.72e-08,1,01/01/2017,,,exoplanet, ,,0,,
HR 810,957,40.639441999999995,-50.800292999999996,1.72e-08,1,01/01/1999,,,exoplanet, ,,0,,
rho CrB,3336,240.26109300000002,33.303509000000005,1.72e-08,2,01/01/2016,,,exoplanet, ,,0,,
HD 10647,2621,25.622149,-53.740832999999995,1.74e-08,1,01/01/2006,,,exoplanet, ,,0,,
GJ 3021,1411,4.052823,-79.85118100000003,1.76e-08,1,01/01/2000,,,exoplanet, ,,0,,
GJ 3998,2643,259.002655,11.057666000000001,1.78e-08,2,01/01/2016,,,exoplanet, ,,0,,
GJ 504,2532,199.193817,9.424156,1.8e-08,1,01/01/2013,,,exoplanet, ,,0,,
HD 154345,2706,255.65168799999998,47.081882,1.81e-08,1,01/01/2006,,,exoplanet, ,,0,,
HD 87883,207,152.179749,34.242259999999995,1.81e-08,1,01/01/2009,,,exoplanet, ,,0,,
70 Vir,488,202.107544,13.778788,1.81e-08,1,01/01/1996,,,exoplanet, ,,0,,
14 Her,475,242.60130299999997,43.817646,1.82e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 39091,155,84.291214,-80.469124,1.82e-08,1,01/01/2001,,,exoplanet, ,,0,,
HD 27442,141,64.120956,-59.302155000000006,1.82e-08,1,01/01/2000,,,exoplanet, ,,0,,
HN Peg,493,326.130554,14.771939000000001,1.84e-08,1,01/01/2006,,,exoplanet, ,,0,,
WD 0806-661,2337,121.723902,-66.30465,1.92e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 189733,740,300.1821290000001,22.710854,1.93e-08,1,01/01/2005,,,exoplanet, ,,0,,
bet Pic,576,86.821198,-51.066513,1.93e-08,1,01/01/2008,,,exoplanet, ,,0,,
HD 217107,567,344.564758,-2.3953849999999997,1.97e-08,2,01/01/2005,,,exoplanet, ,,0,,
GJ 3634,1488,164.646242,-31.143989,1.98e-08,1,01/01/2010,,,exoplanet, ,,0,,
7 CMa,471,99.17099,-19.255878,1.98e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 192263,744,303.49935899999997,-0.866877,1.99e-08,1,01/01/1999,,,exoplanet, ,,0,,
GJ 328,2530,133.781754,1.546508,2e-08,1,01/01/2013,,,exoplanet, ,,0,,
BD-06 1339,680,88.251183,-5.9948440000000005,2.0099999999999998e-08,2,01/01/2013,,,exoplanet, ,,0,,
alf Ari,574,31.793364,23.462423,2.02e-08,1,01/01/2010,,,exoplanet, ,,0,,
HD 114783,2628,198.182434,-2.26504,2.04e-08,1,01/01/2001,,,exoplanet, ,,0,,
alf Tau,3039,68.980164,16.509301999999998,2.04e-08,1,01/01/2015,,,exoplanet, ,,0,,
HD 114613,2627,198.013275,-37.803020000000004,2.0499999999999998e-08,1,01/01/2014,,,exoplanet, ,,0,,
DENIS-P J082303.1-491201,2528,125.76305,-49.20035900000001,2.08e-08,1,01/01/2013,,,exoplanet, ,,0,,
HD 104067,245,179.79170200000004,-20.353781,2.08e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 33564,126,80.639717,79.231148,2.1e-08,1,01/01/2005,,,exoplanet, ,,0,,
HD 210277,736,332.37445099999997,-7.548653999999999,2.13e-08,1,01/01/1998,,,exoplanet, ,,0,,
HD 97658,204,168.638184,25.710384,2.13e-08,1,01/01/2010,,,exoplanet, ,,0,,
16 Cyg B,476,295.466553,50.517525,2.14e-08,1,01/01/1996,,,exoplanet, ,,0,,
HD 215152,3255,340.838745,-6.400821,2.16e-08,4,01/01/2018,,,exoplanet, ,,0,,
