name,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,objid,date,ra,dec,dist,type,subtype,mapp,mabs,importance,commentary,teff_val,mass
Himalia,0,0,0,27,27,28,,01/01/1904,231.26261,-17.8905,2.3248674170099998e-14,Moon,Jupiter,15.23,16.82671774,0, ,,
Elara,1,1,1,16,16,17,,01/01/1905,229.88532999999998,-16.98392,2.27213645937e-14,Moon,Jupiter,17.07,18.71653664,0, ,,
Pasiphae,2,2,2,40,40,41,,01/01/1908,232.89713999999998,-16.66313,2.3552161203200002e-14,Moon,Jupiter,17.46,19.02855487,0, ,,
Sinope,3,3,3,43,43,44,,01/01/1914,229.57435,-16.89806,2.3691136881349998e-14,Moon,Jupiter,18.77,20.32577918,0, ,,
Carme,4,4,4,11,11,12,,01/01/1938,230.00955,-17.314,2.38115268163e-14,Moon,Jupiter,18.49,20.03477247,0, ,,
Lysithea,5,5,5,35,35,36,,01/01/1938,231.05176,-17.85567,2.335994867555e-14,Moon,Jupiter,18.81,20.39634927,0, ,,
Miranda,6,6,6,137,137,138,,01/01/1948,24.938010000000002,9.79096,1.008047281455e-13,Moon,Uranus,16.68,15.09130418,0, ,,
Nereid,7,7,7,157,157,158,,01/01/1949,345.93664,-6.99534,1.4996395057300007e-13,Moon,Neptune,18.83,16.37877433,0, ,,
Ananke,8,8,8,6,6,7,,01/01/1951,228.69574,-17.850279999999994,2.3280646180049998e-14,Moon,Jupiter,19.3,20.89373354,0, ,,
Epimetheus,9,9,9,78,78,79,,01/01/1966,278.959,-22.3006,4.92299294135e-14,Moon,Saturn,16.15,16.11756263,0, ,,
Janus,10,10,10,90,90,91,,01/01/1966,278.95867000000004,-22.30005,4.92308214255e-14,Moon,Saturn,14.95,14.91752328,0, ,,
Leda,11,11,11,34,34,35,,01/01/1974,230.76854,-17.008670000000002,2.337593691395e-14,Moon,Jupiter,20.61,22.19486356,0, ,,
Themisto,12,12,12,66,66,67,,01/01/1975,230.53239,-17.50081,2.2895003997850003e-14,Moon,Jupiter,21.33,22.96000507,0, ,,
Charon,13,13,13,165,165,166,,01/01/1978,292.41847,-21.49747,1.6420934947549998e-13,Moon,Pluto,16.18,13.53171929,0, ,,
Adrastea,14,14,14,3,3,4,,01/01/1979,230.66575,-17.26205,2.3037601830599998e-14,Moon,Jupiter,19.45,21.06652235,0, ,,
Metis,15,15,15,37,37,38,,01/01/1979,230.64736000000002,-17.25702,2.30358917303e-14,Moon,Jupiter,17.85,19.46668355,0, ,,
Thebe,16,16,16,64,64,65,,01/01/1979,230.66348,-17.26065,2.303205729605e-14,Moon,Jupiter,16.05,17.66704503,0, ,,
Atlas,17,17,17,70,70,71,,01/01/1980,278.95684,-22.30246,4.922618666850001e-14,Moon,Saturn,19.55,19.51772772,0, ,,
Calypso,18,18,18,74,74,75,,01/01/1980,278.94304,-22.302629999999997,4.9223923658500004e-14,Moon,Saturn,19.45,19.41782755,0, ,,
Helene,19,19,19,85,85,86,,01/01/1980,278.955,-22.3068,4.92181094785e-14,Moon,Saturn,18.85,18.81808405,0, ,,
Pandora,20,20,20,101,101,102,,01/01/1980,278.95263,-22.3028,4.9224829784e-14,Moon,Saturn,16.95,16.91778758,0, ,,
Prometheus,21,21,21,104,104,105,,01/01/1980,278.94741,-22.29968,4.9229479042499996e-14,Moon,Saturn,16.25,16.21758249,0, ,,
Telesto,22,22,22,120,120,121,,01/01/1980,278.95293,-22.2956,4.9237547454e-14,Moon,Saturn,19.15,19.11722663,0, ,,
Puck,23,23,23,143,143,144,,01/01/1985,24.939989999999998,9.788160000000001,1.008014490605e-13,Moon,Uranus,20.58,18.99137482,0, ,,
Belinda,24,24,24,125,125,126,,01/01/1986,24.93851,9.78915,1.008041033685e-13,Moon,Uranus,22.48,20.89131764,0, ,,
Bianca,25,25,25,126,126,127,,01/01/1986,24.93975,9.78854,1.0080177008199999e-13,Moon,Uranus,23.38,21.791367899999997,0, ,,
