name,Unnamed: 0,date,dec,dist,mabs,mapp,ra,subtype,type,commentary,importance,teff_val,mass
ISS(ZARYA),0,1998-01-01,21.526931167429808,2.1991021342441524e-19,,,352.88936057545624,special,satellite, ,0,,
FLOCK2E-5,1,1998-01-01,50.65187020658482,2.1581800390546573e-19,,,183.15141427656346,special,satellite, ,0,,
FLOCK2E-14,2,1998-01-01,-2.1589696541582057,2.1750403313181595e-19,,,141.6196925469724,special,satellite, ,0,,
FLOCK2E-15,3,1998-01-01,-49.360025724009894,2.1778754156415106e-19,,,33.517001286945096,special,satellite, ,0,,
TIANGONG-2,4,2016-01-01,25.55900698430429,2.1923678290503144e-19,,,265.66850809196615,special,satellite, ,0,,
FLOCK2E-18,5,1998-01-01,32.45675748031013,2.17696158863401e-19,,,295.78066410933565,special,satellite, ,0,,
FLOCK2E-20,6,1998-01-01,41.14455939172235,2.1710990201294653e-19,,,267.69864368804616,special,satellite, ,0,,
BANXING-2,7,2016-01-01,11.008588828232472,2.176214931553382e-19,,,77.60180997285617,special,satellite, ,0,,
ITF-2,8,1998-01-01,-15.376505547611414,2.175999527552419e-19,,,338.8695590899728,special,satellite, ,0,,
WASEDA-SAT3,9,1998-01-01,13.703730996634087,2.1663236004097994e-19,,,147.75732238439718,special,satellite, ,0,,
AOBA-VELOX3,10,1998-01-01,7.630414173977559,2.170837623878395e-19,,,314.676497254207,special,satellite, ,0,,
LEMUR-2-REDFERN-GOES,11,1998-01-01,3.3705324795310654,2.175294572772217e-19,,,326.59941065803014,special,satellite, ,0,,
LEMUR-2-AUSTINTACIOUS,12,1998-01-01,38.908648293801754,2.1665080382728967e-19,,,181.273944330128,special,satellite, ,0,,
LEMUR-2-TRUTNAHD,13,1998-01-01,51.62425495768175,2.1720441491230293e-19,,,237.48568493504632,special,satellite, ,0,,
HAVELSAT,14,1998-01-01,22.543687035649363,2.1794303682261835e-19,,,183.0667408326371,special,satellite, ,0,,
CXBN-2,15,1998-01-01,-6.282276496252805,2.180424812510632e-19,,,157.913245715421,special,satellite, ,0,,
ICECUBE,16,1998-01-01,-31.807373933819925,2.1700816439339177e-19,,,122.87558448391302,special,satellite, ,0,,
PHOENIX,17,1998-01-01,47.81872932077518,2.182752551200064e-19,,,283.08514711711615,special,satellite, ,0,,
X-CUBESAT,18,1998-01-01,-46.21157256467792,2.179807466389505e-19,,,105.60219857991491,special,satellite, ,0,,
QBEE50-LTU-OC,19,1998-01-01,50.257404808898876,2.180344065159753e-19,,,234.5273573641713,special,satellite, ,0,,
ALTAIRPATHFINDER,20,1998-01-01,34.69394881300133,2.1873781901933244e-19,,,205.57935661986718,special,satellite, ,0,,
SHARC,21,1998-01-01,-37.646550685689725,2.1869115520109644e-19,,,136.2693021545505,special,satellite, ,0,,
ZA-AEROSAT,22,1998-01-01,-10.36064233365164,2.1836668576128606e-19,,,158.61840648192202,special,satellite, ,0,,
LINK,23,1998-01-01,-13.017356144027948,2.1689894979059467e-19,,,341.9993673244672,special,satellite, ,0,,
CSUNSAT1,24,1998-01-01,-47.25669990290251,2.1833801251483613e-19,,,45.16534852824233,special,satellite, ,0,,
SPACECUBE,25,1998-01-01,-0.5196722465355406,2.180240290966926e-19,,,162.08806449184127,special,satellite, ,0,,
HOOPOE,26,1998-01-01,6.510381902668956,2.1770554554089385e-19,,,166.69865338399367,special,satellite, ,0,,
CHALLENGER,27,1998-01-01,-14.333963182045414,2.1551905843876694e-19,,,131.67959082426478,special,satellite, ,0,,
NJUST-1,28,1998-01-01,-46.2734533214571,2.1859373803626566e-19,,,44.46248810105431,special,satellite, ,0,,
UNSW-ECO,29,1998-01-01,-42.740247260390944,2.1778077366397255e-19,,,26.15080354457516,special,satellite, ,0,,
LILACSAT-1,30,1998-01-01,-50.94233646751354,2.1829732281665786e-19,,,62.74739127960268,special,satellite, ,0,,
NSIGHT-1,31,1998-01-01,42.33936220445171,2.190886007456532e-19,,,310.7874600369031,special,satellite, ,0,,
SNUSAT-1,32,1998-01-01,14.967717752034336,2.181269177292214e-19,,,178.6581126217059,special,satellite, ,0,,
I-INSPIREII,33,1998-01-01,-43.92658202426993,2.175693383998829e-19,,,108.14889532391449,special,satellite, ,0,,
POLYITAN-2-SAU,34,1998-01-01,-23.20946204757329,2.1806749212959565e-19,,,4.283526300183679,special,satellite, ,0,,
SNUSAT-1B,35,1998-01-01,22.057955990200334,2.1808151510093762e-19,,,185.09155713462945,special,satellite, ,0,,
EXALTA-1,36,1998-01-01,-48.73680583865554,2.1752996830856155e-19,,,93.03274449505676,special,satellite, ,0,,
BEEAGLESAT,37,1998-01-01,-7.770146232747003,2.184355547994545e-19,,,352.3542040877705,special,satellite, ,0,,
ASTERIA,38,1998-01-01,19.918663319454826,2.1923373489948733e-19,,,201.2120547839068,special,satellite, ,0,,
DELLINGR(RBLE),39,1998-01-01,51.43374292517353,2.1948215913605924e-19,,,285.4112847743386,special,satellite, ,0,,
OSIRIS-3U,40,1998-01-01,-6.903756182503934,2.186269440310782e-19,,,173.72332620309209,special,satellite, ,0,,
PROGRESS-MS08,41,2018-01-01,41.898004670405854,2.1988231098798967e-19,,,327.7022711589497,special,satellite, ,0,,
UBAKUSAT,43,1998-01-01,36.635830304298786,2.195937164046968e-19,,,225.74730579672118,special,satellite, ,0,,
1KUNS-PF,44,1998-01-01,15.433147934240036,2.1965259740093427e-19,,,359.9862436622204,special,satellite, ,0,,
BATSU-CS1(IRAZU),45,1998-01-01,44.15613852851515,2.1957637161447414e-19,,,322.31044412764095,special,satellite, ,0,,
CYGNUSOA-9,46,2018-01-01,51.57767953800361,2.224513772961226e-19,,,279.21577386421365,special,satellite, ,0,,
1998-067NU,50,1998-01-01,21.116108071086426,2.1968665728345645e-19,,,211.15212305171409,special,satellite, ,0,,
1998-067NV,51,1998-01-01,-43.437260055593214,2.197976309176886e-19,,,61.26049384507122,special,satellite, ,0,,
1998-067NW,52,1998-01-01,20.58613454282629,2.196637585855069e-19,,,207.76662824160624,special,satellite, ,0,,
1998-067NX,53,1998-01-01,39.58794235573854,2.197086613784521e-19,,,233.59826083150017,special,satellite, ,0,,
1998-067NY,54,1998-01-01,-2.7549381363370533,2.1988955381448887e-19,,,14.573771813256545,special,satellite, ,0,,
ENDUROSATONE,55,1998-01-01,45.09559281634823,2.198098617194859e-19,,,320.7812514266457,special,satellite, ,0,,
EQUISAT,56,1998-01-01,13.441075080458678,2.1987959657376485e-19,,,2.4476940767805058,special,satellite, ,0,,
