name,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,objid,date,ra,dec,dist,type,subtype,mapp,mabs,importance,commentary,teff_val,mass
WIND,0,0,0,0,1994-071A,1994-11-01,355.451457,-1.9856263330000001,4.86607969e-17,spacecraft,lagrangian,25,25,0, ,,
SOHO,1,1,1,1,1995-065A,1995-12-02,355.4194316,-1.9856263330000001,4.871789595e-17,spacecraft,lagrangian,25,25,0, ,,
ACE,2,2,2,2,1997-045A,1997-08-25,355.4319017,-1.9856263330000001,4.86181945e-17,spacecraft,lagrangian,25,25,0, ,,
DSCOVR,3,3,3,3,2015-007A,2015-02-11,355.4756175,-1.9856263330000001,4.85788028e-17,spacecraft,lagrangian,25,25,0, ,,
Gaia,4,4,4,4,2013-074A,2013-12-19,175.5037755,-1.9856263330000001,4.831649055e-17,spacecraft,lagrangian,25,25,0, ,,
WMAP,5,5,5,5,2001-027A,2001-06-30,175.4651574,-1.9856263330000001,4.85907047e-17,spacecraft,lagrangian,25,25,1,The Wilkinson Microwave Anisotropy Probe (WMAP) was launched in June 2001 by NASA with the purpose of making fundamental measurements of cosmology.,,
Planck,6,6,6,6,2009-026B,2009-05-14,175.5006449,-1.9856263330000001,4.8674158650000005e-17,spacecraft,lagrangian,25,25,1,The Planck satellite was launched in May 2009 and operated by ESA until October 2013 to collect and characterise radiation from the Cosmic Microwave Background (CMB) using sensitive radio receivers operating at extremely low temperatures.,,
STEREO A,7,7,7,7,2006-047A,2006-10-26,57.82272237,20.15035948,4.8234119702e-15,spacecraft,lagrangian,25,25,0, ,,
STEREO B,8,8,8,8,2006-047B,2006-10-26,302.2443158000001,-20.15035948,4.823156894150001e-15,spacecraft,lagrangian,25,25,0, ,,
ARTEMIS,9,9,9,9,2007-004B,2007-02-17,333.7534525,0.6914666690000001,1.4031054849999998e-17,spacecraft,lagrangian,25,25,0, ,,
Chang'e 5-T1,10,10,10,10,2014-065A,2014-09-23,333.72095930000006,0.6914666690000001,1.4054465800000002e-17,spacecraft,lagrangian,25,25,0, ,,
Pioneer 10,11,11,11,11,1972-012A,1972-03-03,5.183333333,25.933332999999998,5.8077295e-13,spacecraft,outside solar system,25,25,0, ,,
Pioneer 11,12,12,12,12,1971-019A,1973-04-06,18.81666667,-8.666667,4.6963035e-13,spacecraft,outside solar system,25,25,0, ,,
Voyager 1,13,13,13,13,1977-084A,1977-08-20,19.98333333,12.433333,6.712884999999997e-13,spacecraft,outside solar system,25,25,1,"Voyager 1 is the furthest man-made object from Earth and in August 2012 became the first man-made object to enter inter-stellar space. Launched in September 1977, the probe’s principal aim was to fly by Jupiter and Saturn but also carries a record containing sounds ranging from whale calls to the music of Chuck Berry were placed on board, as well as spoken greetings in 55 languages.",,
Voyager 2,14,14,14,14,1977-076A,1977-09-05,17.2,-57.833332999999996,5.528515000000002e-13,spacecraft,outside solar system,25,25,1,"Voyager 2 was in fact the first of the two voyager spacecrafts launched in 1977 to explore the outer planets. Voyager 2 took close-up pictures of Jupiter, Saturn, Uranus and Neptune and is now heading towards interstellar space, where Voyager 1 currently resides.",,
New Horizons,15,15,15,15,2006-001A,2006-01-19,19.08333333,-20.583333,1.8377620000000005e-13,spacecraft,outside solar system,25,25,1, ,,
