name,Unnamed: 0,mapp,Mmax,Host_Name,ra,dec,z,subtype,Phot,Spec,Radio,X-ray,dist,buildup,decay,date,mabs,type,commentary,importance,teff_val,mass
SN2011fe,1,9.48,-18.28,NGC 5457,210.77404270833333,54.27370166666667,0.0008039999999999999,Ia,3123.0,143.0,0.0,0.0,0.003446003826138412,19,60,2011-08-24,26.79342122342736,supernova, ,0,,
SN1909A,14909,12.1,-17.0,NGC 5457,210.51257500000003,54.46649222222222,0.0008049999999999999,II,8.0,,,,0.003450289201457643,20,70,1909-01-26,29.41072250531007,supernova, ,0,,
SN2004dj,58,10.69,-17.0,NGC 2403,114.32096666666668,65.59939259259261,0.0008099166666666668,II P,554.0,31.0,,,0.003471358938175462,15,50,2004-07-31,27.987502389998703,supernova, ,0,,
SN1970G,902,11.42,-18.0,NGC 5457,210.7537291666667,54.24242777777778,0.000811,II,83.0,,,3.0,0.003476001416890975,20,70,1970-07-30,28.714600275979052,supernova, ,0,,
M82SNR J09555300+6940454,46298,,,M82,13.970833333333333,69.67927777777777,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555273+6940457,46297,,,M82,13.969583333333333,69.67936111111112,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555204+6940454,46296,,,M82,13.966666666666667,69.67927777777777,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555192+6940445,46295,,,M82,13.96625,69.67902777777778,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555155+6940475,46294,,,M82,13.964583333333335,69.67986111111112,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555141+6940426,46293,,,M82,13.964166666666666,69.6785,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555127+6940481,46291,,,M82,13.96375,69.68002777777778,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555323+6940443,46299,,,M82,13.971666666666666,69.67897222222223,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555006+6940459,46290,,,M82,13.95875,69.67941666666667,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554943+6940414,46289,,,M82,13.955833333333333,69.67816666666667,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554935+6940424,46288,,,M82,13.955416666666665,69.67844444444445,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554908+6940415,46287,,,M82,13.954583333333332,69.67819444444444,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554854+6940432,46286,,,M82,13.952083333333333,69.67866666666667,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095557480+69410310,46315,,,M82,13.989583333333332,69.68419444444444,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555140+6940417,46292,,,M82,13.964166666666666,69.67825,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555362+6940473,46300,,,M82,13.973333333333333,69.67980555555556,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555389+6940473,46301,,,M82,13.974583333333333,69.67980555555556,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095558420+69405120,46319,,,M82,13.993333333333332,69.68088888888889,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095558030+69405110,46316,,,M82,13.991666666666665,69.68086111111111,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095555980+69405700,46313,,,M82,13.983333333333333,69.6825,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095555770+69405870,46312,,,M82,13.982499999999998,69.68297222222222,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555545+6940530,46311,,,M82,13.980833333333333,69.68138888888889,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095558030+69410450,46317,,,M82,13.991666666666665,69.68458333333334,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555528+6940598,46310,,,M82,13.980416666666667,69.68327777777779,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095558360+69405840,46318,,,M82,13.993333333333332,69.6828888888889,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555522+6940500,46309,,,M82,13.98,69.68055555555556,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095555170+69410650,46308,,,M82,13.98,69.68513888888889,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095555170+69405530,46307,,,M82,13.98,69.68202777777778,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J095554710+69405560,46306,,,M82,13.977916666666665,69.68211111111111,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555461+6940499,46305,,,M82,13.9775,69.68052777777778,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555447+6940514,46304,,,M82,13.977083333333333,69.68094444444445,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555414+6940535,46303,,,M82,13.975416666666666,69.68152777777779,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09555397+6940513,46302,,,M82,13.975,69.68091666666668,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554816+6940425,46284,,,M82,13.950833333333335,69.67847222222223,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554788+6940436,46283,,,M82,13.949583333333333,69.67877777777778,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
M82SNR J09554840+6940397,46285,,,M82,13.951666666666664,69.67769444444447,0.000817,,,,,,0.0035017135697834327,20,100,,,supernova, ,0,,
