,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
40,40.0,,01/04/2018,56.62235030507775,249166617.1178881,0.0,,,103.77656768696009,,,1.6357214584097997e+18,1.0002674061516138e+18,,5192.2,star
99,99.0,,01/04/2018,60.03324149730908,77749455.27834596,0.0,,,107.3418244407325,,,1.6357214584097997e+18,1.0027689325427268e+18,,,star
49,49.0,,01/04/2018,60.5539920189351,551705821.7238348,0.0,1.9841392793875885,-10.152272888521662,93.682033176627,,5.0407577,1.6357214584097997e+18,1.0056325117949842e+18,,4882.75,star
18,18.0,,01/04/2018,64.27498973544,503017547.78347015,0.0,,,95.42643575161249,,,1.6357214584097997e+18,1.0076348942680952e+18,,,star
22,22.0,,01/04/2018,44.812543702032364,239840642.77738252,0.0,,,133.18864391364406,,,1.6357214584097997e+18,1.0102526209987436e+18,,,star
72,72.0,,01/04/2018,48.439137585634214,138719945.53026083,0.0,,,132.98236299347613,,,1.6357214584097997e+18,1.0142234084593748e+18,,,star
10,10.0,,01/04/2018,52.77632683627321,198276546.81357795,0.0,,,136.40488814999344,,,1.6357214584097997e+18,1.0174407813446964e+18,,,star
96,96.0,,01/04/2018,52.49515837724528,1385355945.9682915,0.0,,,144.9508057768441,,,1.6357214584097997e+18,1.0203620849559089e+18,,5570.0,star
93,93.0,,01/04/2018,54.52191846424272,90704444.7768532,0.0,5.295458099056076,-2.9205590813363216,136.7790337765133,,0.9705483,1.6357214584097997e+18,1.0238701455244422e+18,,5191.25,star
39,39.0,,01/04/2018,49.20787727086661,188680294.742288,0.0,3.433655621513749,-6.372851442604227,127.66733697542044,,1.2786882,1.6357214584097997e+18,1.027109478577895e+18,,6943.5,star
87,87.0,,01/04/2018,53.99949273420391,294963135.1905234,0.0,,,128.00695367671938,,,1.6357214584097997e+18,1.0305505376555512e+18,,,star
85,85.0,,01/04/2018,56.27529778067942,118898233.55051193,0.0,7.1222381417398015,-1.68151320455633,122.8323781432513,,0.81536615,1.6357214584097997e+18,1.0334583679547232e+18,,3719.0,star
56,56.0,,01/04/2018,57.61623748511058,367444803.8502066,0.0,,,137.95718788818957,,,1.6357214584097997e+18,1.0366433095425332e+18,,,star
53,53.0,,01/04/2018,61.260265189703944,315258633.235388,0.0,,,138.8108426088551,,,1.6357214584097997e+18,1.0398637447407756e+18,,,star
84,84.0,,01/04/2018,63.35232233299895,79268247.2557195,0.0,,,139.798243932369,,,1.6357214584097997e+18,1.043331707494052e+18,,,star
83,83.0,,01/04/2018,59.76666715484181,177898818.12747058,0.0,,,152.12556638177966,,,1.6357214584097997e+18,1.0470435857338447e+18,,,star
21,21.0,,01/04/2018,60.4759942393399,78867923.80336623,0.0,,,144.1510933844655,,,1.6357214584097997e+18,1.0508401993852358e+18,,,star
91,91.0,,01/04/2018,62.31854073532276,380724840.13814086,0.0,,,162.1737012689974,,,1.6357214584097997e+18,1.0542522287795468e+18,,,star
55,55.0,,01/04/2018,67.4769041707643,149538593.46703807,0.0,,,175.60491222928613,,,1.6357214584097997e+18,1.0579105058283452e+18,,,star
41,41.0,,01/04/2018,69.12815875374217,99816093.04398318,0.0,,,173.90889128279235,,,1.6357214584097997e+18,1.0615131243962444e+18,,,star
90,90.0,,01/04/2018,65.02393894825232,152987890.72806883,0.0,,,150.55426905897198,,,1.6357214584097997e+18,1.0654346013353044e+18,,,star
36,36.0,,01/04/2018,28.28730523232373,528831718.53152645,0.0,,,35.40369546191945,,,1.6357214584097997e+18,1.0693757750036877e+17,,,star
55,55.0,,01/04/2018,69.2946753783647,102450981.01965971,0.0,,,165.60656137923291,,,1.6357214584097997e+18,1.0725908801390404e+18,,,star
86,86.0,,01/04/2018,72.08427933791776,160416159.39926234,0.0,6.191749239316307,-3.2623656671914687,163.5853316097352,,0.67113453,1.6357214584097997e+18,1.0770996337279548e+18,,5078.6304,star
52,52.0,,01/04/2018,56.13243003664172,190992563.7238581,0.0,,,119.9530361807472,,,1.6357214584097997e+18,1.0811282743962092e+18,,,star
6,6.0,,01/04/2018,60.14679416410212,251870263.98007202,0.0,,,117.69427923601036,,,1.6357214584097997e+18,1.084594690961257e+18,,,star
54,54.0,,01/04/2018,61.715053468420436,168773932.89092737,0.0,2.341884387055136,-7.222516800831299,116.42240821986721,-52.69855565094717,4.1388025,1.6357214584097997e+18,1.0877540044804864e+18,,4962.5,star
